,uid,Visibility,Wind speed (gust),Surface pressure,Orography,Temperature,Plant canopy surface water,Water equivalent of accumulated snow depth (deprecated),Snow cover,Snow depth,Percent frozen precipitation,Precipitation rate,Categorical snow,Categorical ice pellets,Categorical freezing rain,Categorical rain,Forecast surface roughness,Frictional velocity,Instantaneous surface sensible heat flux,Latent heat net flux,Ground heat flux,Vegetation Type,Convective available potential energy,Convective inhibition,Downward short-wave radiation flux,Downward long-wave radiation flux,Upward short-wave radiation flux,Upward long-wave radiation flux,Visible Beam Downward Solar Flux,Visible Diffuse Downward Solar Flux,Boundary layer height,Land-sea mask,Sea ice area fraction,Vegetation,unknown,Leaf Area Index,Cloud Forcing Net Solar Flux,Lightning
0,aamp,24600.0,7.806532859802246,84810.0,1517.0889892578125,298.312744140625,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.07500000298023224,0.3100000023841858,-30.0,50.0,60.0,10.0,1500.0,-43.0,17.799999237060547,376.79998779296875,2.875,449.0843811035156,81.0,14.300000190734863,757.946044921875,1.0,0.0,,,,,
1,hnka,11400.0,2.806532859802246,100530.0,75.68275451660156,299.062744140625,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.3650999963283539,0.18000000715255737,-12.0,10.0,50.0,12.0,1580.0,-57.0,0.0,404.1000061035156,0.0,453.4593811035156,0.0,0.0,53.00852966308594,1.0,0.0,,,,,
2,rwyj,10400.0,3.056532859802246,100340.0,92.99525451660156,298.125244140625,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.19670000672340393,0.12999999523162842,-9.0,10.0,40.0,12.0,1620.0,-38.0,0.0,398.79998779296875,0.0,448.0843811035156,0.0,0.0,57.25852966308594,1.0,0.0,,,,,
3,tdfe,9700.0,5.869032859802246,95880.0,444.7452392578125,289.375244140625,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,1.0,0.699999988079071,0.23999999463558197,-22.0,-20.0,20.0,4.0,420.0,-12.0,0.0,336.0,0.0,397.4593811035156,0.0,0.0,172.82102966308594,1.0,0.0,,,,,
4,aalr,12200.0,3.3136465549468994,97110.0,331.9327392578125,293.4806823730469,0.4000000059604645,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,1.0,0.3991999924182892,0.23999999463558197,4.0,10.0,22.0,13.0,120.0,-170.0,0.0,415.20001220703125,0.0,370.24200439453125,0.0,0.0,331.349853515625,1.0,0.0,,,,,
5,hsng,24500.0,3.5636465549468994,99710.0,193.46400451660156,291.3556823730469,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.24169999361038208,0.05999999865889549,-5.0,10.0,32.0,14.0,0.0,0.0,0.0,373.5,0.0,375.74200439453125,0.0,0.0,342.037353515625,1.0,0.0,,,,,
6,irsw,18300.0,3.1261465549468994,100540.0,119.27650451660156,292.7306823730469,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6007999777793884,0.14000000059604645,-11.0,20.0,42.0,5.0,20.0,-33.0,0.0,375.6000061035156,0.0,391.24200439453125,0.0,0.0,139.28736877441406,1.0,0.0,,,,,
7,jxru,18300.0,3.1261465549468994,100540.0,119.27650451660156,292.7306823730469,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.6007999777793884,0.14000000059604645,-11.0,20.0,42.0,5.0,20.0,-33.0,0.0,375.6000061035156,0.0,391.24200439453125,0.0,0.0,139.28736877441406,1.0,0.0,,,,,
8,ppwg,16300.0,6.2511467933654785,96010.0,421.4014892578125,295.6681823730469,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.11840000003576279,0.25,-21.0,30.0,45.0,10.0,950.0,-182.0,0.0,386.6000061035156,0.0,398.61700439453125,0.0,0.0,228.53736877441406,1.0,0.0,,,,,
9,qvdn,15700.0,5.1886467933654785,96180.0,410.9952392578125,295.7306823730469,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.07500000298023224,0.20999999344348907,-16.0,20.0,29.0,10.0,1140.0,-36.0,0.0,398.0,0.0,398.99200439453125,0.0,0.0,566.662353515625,1.0,0.0,,,,,
10,rike,13600.0,5.4386467933654785,97490.0,302.9327392578125,293.7306823730469,0.20000000298023224,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.2583000063896179,0.23999999463558197,-7.0,20.0,54.0,10.0,100.0,-199.0,0.0,368.8999938964844,0.0,388.49200439453125,0.0,0.0,323.599853515625,1.0,0.0,,,,,
11,rziu,15200.0,4.2511467933654785,97500.0,299.6202392578125,295.1056823730469,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.10220000147819519,0.05000000074505806,-2.0,0.0,34.0,10.0,510.0,-68.0,0.0,389.8999938964844,0.0,395.49200439453125,0.0,0.0,521.912353515625,1.0,0.0,,,,,
12,aabm,20500.0,2.2797975540161133,99110.0,202.15150451660156,287.3598937988281,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,0.03999999910593033,-9.0,0.0,0.0,17.0,960.0,-80.0,0.0,386.70001220703125,0.0,386.71417236328125,0.0,0.0,473.2677307128906,0.0,0.0,,,,,
13,slmu,75700.0,8.25114631652832,100770.0,24.120254516601562,308.4806823730469,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.12039999663829803,0.4399999976158142,9.0,10.0,39.0,10.0,0.0,0.0,87.0999984741211,394.1000061035156,14.125,472.36700439453125,480.0,27.700000762939453,721.099853515625,1.0,0.0,,,,,
14,dinb,11300.0,1.9672975540161133,98250.0,276.5889892578125,296.1098937988281,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,1.0,0.1445000022649765,0.15000000596046448,-8.0,20.0,50.0,12.0,2070.0,-70.0,0.0,390.29998779296875,0.0,435.71417236328125,0.0,0.0,113.83023071289062,1.0,0.0,,,,,
